locationLabel;regionLabel;geoloc
Tišnov;správní obvod obce s rozšířenou působností Tišnov;Point(16.424404904 49.34874933)
Nemojany;okres Vyškov;Point(16.913528412 49.246732579)
Desná;okres Jablonec nad Nisou;Point(15.302947428 50.759923158)
Vojkov;okres Benešov;Point(14.519846675 49.652291554)
Stochov;okres Kladno;Point(13.963525918 50.146392291)
Žamberk;okres Ústí nad Orlicí;Point(16.467445454 50.086040466)
Krásná Hora;okres Havlíčkův Brod;Point(15.470378055 49.602738825)
Kladno;okres Kladno;Point(14.105277777 50.143055555)
Zbinohy;okres Jihlava;Point(15.480424701 49.487331092)
Číhošť;okres Havlíčkův Brod;Point(15.335125075 49.741807416)
Ladná;okres Břeclav;Point(16.872300243 48.805419414)
Tišnov;okres Brno-venkov;Point(16.424404904 49.34874933)
Dvůr Králové nad Labem;okres Trutnov;Point(15.814108741 50.4317638)
Dolánky nad Ohří;okres Litoměřice;Point(14.162699155 50.472932473)
Dobřichovice;okres Praha-západ;Point(14.274756871 49.927572663)
Chomutov;okres Chomutov;Point(13.411111111 50.462777777)
Jablonné v Podještědí;okres Liberec;Point(14.760631796 50.765345012)
Zastávka;správní obvod obce s rozšířenou působností Rosice;Point(16.363112458 49.188029011)
Jablunkov;okres Frýdek-Místek;Point(18.764611504 49.576691347)
Písek;okres Písek;Point(14.147530601 49.308880686)
Zahrádky;okres Jindřichův Hradec;Point(15.241733126 49.200868008)
Přibyslav;okres Havlíčkův Brod;Point(15.738585389 49.576885241)
Mimoň;okres Česká Lípa;Point(14.724839569 50.658755425)
Sedlejov;okres Jihlava;Point(15.495669912 49.227561881)
Kadaň;okres Chomutov;Point(13.271397346 50.376085535)
Ústí nad Labem;okres Ústí nad Labem;Point(14.041666666 50.659166666)
Kroměříž;okres Kroměříž;Point(17.393134863 49.297859972)
Ladná;správní obvod obce s rozšířenou působností Břeclav;Point(16.872300243 48.805419414)
Liberec;okres Liberec;Point(15.0584492 50.7699972)
Veverská Bítýška;správní obvod obce s rozšířenou působností Kuřim;Point(16.436884691 49.275944221)
Vrbno pod Pradědem;okres Bruntál;Point(17.383221772 50.120957199)
Jimramov;okres Žďár nad Sázavou;Point(16.226360433 49.637223178)
Lidice;okres Kladno;Point(14.190200552 50.143603546)
Zahnašovice;okres Kroměříž;Point(17.560104894 49.304556012)
Okrouhlička;okres Havlíčkův Brod;Point(15.556908072 49.534490998)
Přerov nad Labem;okres Nymburk;Point(14.825096414 50.160334655)
Bořislav;okres Teplice;Point(13.929300602 50.579442418)
Hlučín;okres Opava;Point(18.1920049 49.897939786)
Zahorčice;okres Strakonice;Point(13.817534896 49.208745165)
Telnice;okres Ústí nad Labem;Point(13.95788646 50.733042406)
Sklené nad Oslavou;okres Žďár nad Sázavou;Point(16.05746984 49.438143394)
Sázava;okres Žďár nad Sázavou;Point(15.857417579 49.559844983)
Kladruby;okres Rokycany;Point(13.631752 49.912965584)
Vír;okres Žďár nad Sázavou;Point(16.323621367 49.557416717)
Domamil;okres Třebíč;Point(15.695585178 49.083283902)
Želetava;okres Třebíč;Point(15.673013748 49.141921478)
Rozseč;okres Jihlava;Point(15.616616272 49.155941395)
Spělkov;okres Žďár nad Sázavou;Point(16.16098682 49.674798085)
Záblatí;okres Žďár nad Sázavou;Point(16.166357898 49.320786274)
Číhalín;okres Třebíč;Point(15.812081025 49.268489879)
Rantířov;okres Jihlava;Point(15.515190362 49.408299074)
Opatov;okres Jihlava;Point(15.394306856 49.431081469)
Otín;okres Jihlava;Point(15.569715233 49.266550371)
Veselí nad Moravou;správní obvod obce s rozšířenou působností Veselí nad Moravou;Point(17.376482379 48.953642955)
Budkov;okres Třebíč;Point(15.658938236 49.054539462)
Zvole;okres Žďár nad Sázavou;Point(16.174877126 49.494481357)
Pavlov;okres Žďár nad Sázavou;Point(15.913872537 49.45078896)
Velké Janovice;okres Žďár nad Sázavou;Point(16.220085966 49.587877261)
Věstín;okres Žďár nad Sázavou;Point(16.339947851 49.566909754)
Střítež;okres Žďár nad Sázavou;Point(16.256727247 49.440536783)
Vepřová;okres Žďár nad Sázavou;Point(15.827416834 49.612489427)
Radostín nad Oslavou;okres Žďár nad Sázavou;Point(15.965140652 49.461970687)
Puklice;okres Jihlava;Point(15.650759951 49.360780892)
Řídelov;okres Jihlava;Point(15.406840127 49.234550946)
Panenská Rozsíčka;okres Jihlava;Point(15.51492026 49.252612429)
Dešov;okres Třebíč;Point(15.701415271 48.985672019)
Úsobrno;okres Blansko;Point(16.762919514 49.58894687)
Dolní Vilémovice;okres Třebíč;Point(15.977203304 49.153603129)
Prosetín;okres Žďár nad Sázavou;Point(16.394875058 49.526328775)
Čechtín;okres Třebíč;Point(15.819894298 49.293093733)
Počítky;okres Žďár nad Sázavou;Point(15.971909741 49.588719742)
Dědice;okres Třebíč;Point(15.727762352 49.029750861)
Velké Tresné;okres Žďár nad Sázavou;Point(16.38051779 49.575177846)
Rančířov;okres Jihlava;Point(15.588487107 49.362512071)
Růžená;okres Jihlava;Point(15.428427464 49.270447029)
